0 29265 9692 14178 28533 30457 22270 42069 31209 22369 41851 30386 41763 7388 18864 28654 40775 8501 60205 27182 25031 11282 100416 22286 18684 36871 5504 522 18671 38651 14178
28004 0 30672 35158 520 44586 26149 43496 45634 19006 16144 44515 43288 13934 23898 39206 54904 30502 34263 17198 43196 35184 77200 36415 45634 51000 24315 27181 21211 52780 35158
4910 32352 0 7696 31620 33544 21516 41314 30454 25746 44938 33474 41008 8385 27858 27899 43862 11878 63292 30558 24276 9126 103503 12721 17237 39958 8881 5236 21758 41738 7696
14797 34303 7513 0 33571 25052 28054 47852 36992 19949 36734 24981 47546 15786 16294 34437 35370 4380 54800 24761 30814 2004 105454 5599 18528 31373 7207 13974 10193 33246 0
28864 823 31532 36018 0 45446 26156 43503 45641 19573 16327 45375 43295 14794 24465 39213 55764 31362 34445 17765 43203 36044 76727 37275 46494 51860 25175 28041 21778 53640 36018
30328 44256 32997 24289 43525 0 53439 89891 62377 22742 43326 1780 89585 36423 17820 76476 11893 20466 29177 24563 68270 25148 115407 27172 47959 11044 26639 29506 18680 7624 24289
22335 26589 21892 28399 25857 53539 0 16943 19484 45740 41181 53468 16637 19006 47853 13056 63857 31873 59299 42620 28954 29829 73269 33425 22726 59953 28876 22661 41752 61733 28399
39283 43704 38839 45347 42973 70486 16947 0 17741 57745 58296 88433 305 35954 64801 13813 97060 48820 118251 59735 28470 48483 65818 61452 32065 71799 45823 39609 58700 96697 45347
31282 46118 30839 37346 45387 62485 19529 17727 0 54687 73880 62415 17421 33166 56800 6846 72804 40820 92233 59500 15371 37654 80205 54691 25304 65038 37823 31608 50699 70680 37346
21917 19015 24880 19561 19143 22745 45323 65121 54261 0 16785 22747 64815 20091 6962 51706 35127 15738 24464 4812 48083 20419 98526 22443 39843 28267 18162 21094 10176 22140 19561
41153 15482 43821 35998 15520 44657 40447 57793 59931 16437 0 43503 57586 27083 23399 53503 49912 32175 18622 12054 67024 36856 91989 38880 58783 51986 37464 40330 26614 35718 35998
30294 44222 32962 24255 43490 1789 53405 87952 62343 22881 46799 0 87646 36389 17958 74537 13221 20432 32650 25516 66331 25113 115373 27137 47925 9105 26605 29472 18646 11097 24255
38977 43231 38534 45041 42499 70180 16641 305 17435 62382 57823 88127 0 35648 64495 13507 96754 48514 117945 59262 28164 48177 65611 61146 31759 71493 45517 39303 58394 96391 45041
7531 14860 8463 19372 14129 43851 18752 35695 32990 20075 27446 43781 35389 0 20183 30435 54170 13695 43908 23480 26812 20801 86545 35681 22361 50265 10698 7856 15591 52045 19372
18501 23825 21464 15929 23953 17833 41907 61705 50845 6883 23668 17836 61399 20166 0 48290 29804 12106 29109 11695 44667 16788 109066 18812 36427 23355 13395 17678 6545 19260 15929
29849 39533 29405 35913 38801 61052 12944 13769 6823 53254 54125 76171 13463 31733 55367 0 84798 39386 105989 58066 16209 36221 73537 49190 19803 59538 36389 30175 49266 84436 35913
40382 54310 43050 34342 53578 11746 63492 87136 78686 34166 50832 12370 86830 46476 29507 73721 0 30519 36683 33527 65515 35201 125460 37225 58012 17611 36692 39559 28733 14353 34342
8756 30065 11720 3966 29334 20814 32162 51960 41100 15711 32496 20744 51654 15894 12056 38545 31132 0 50562 20524 34922 4824 101216 6848 26682 27136 3179 8267 5956 29008 3966
59926 34012 62595 53887 34049 31408 83037 117584 91975 24457 18446 30254 117278 43917 29108 104169 36663 50064 0 20757 95963 54745 110519 56769 77557 38737 56237 59104 34634 22469 53887
26594 17203 29557 24237 17331 23286 42131 59477 58938 4676 12340 24291 59269 24136 11638 56383 33316 20414 20778 0 52760 25096 93800 27120 44519 32774 22839 25771 14853 20329 24237
25116 55127 24672 31180 54396 68545 28300 28949 15310 48521 67713 66821 28643 27000 50634 15534 75448 34653 96640 53334 0 30380 88717 39840 9826 50188 31656 25442 44533 75086 31180
11378 34823 9207 1744 34092 25572 29747 50950 37589 20469 37254 25502 50644 17480 16814 37535 35890 4901 55320 25282 29275 0 105974 4043 20439 22744 7727 11164 10714 33766 1744
98379 77717 101047 105533 76985 114961 73917 63533 79640 98032 82958 114890 63470 85144 109275 74261 125279 100877 101076 93748 88918 105559 0 106790 92512 121375 94690 97556 103175 123155 105533
15597 37504 12733 5270 36773 26698 34538 60256 51806 22409 39194 26628 59950 22735 18754 46840 37017 6840 56446 27221 38635 4293 108655 0 22435 19620 10020 15108 12653 34893 5270
18628 46810 16344 19064 46078 48002 22763 32376 23927 40203 59396 47931 32071 22509 42316 18961 58320 26336 77750 45016 9077 20520 92144 24414 0 45702 23339 18954 36216 56196 19064
36449 50377 39118 29631 49646 10915 59560 71079 62629 28777 53158 9192 70773 42544 23854 57664 17818 27388 39010 34646 49458 30490 121528 25995 44942 0 32760 35627 25603 17456 29631
5740 25269 8703 6621 24537 26461 29145 48944 38084 18189 37855 26391 48638 12878 13351 35529 36779 3183 56209 23001 31906 7480 96420 10032 23665 32875 0 5251 8025 34655 6621
522 28451 8879 13365 27719 29643 22587 42385 31525 21555 41037 29573 42079 7704 18051 28970 39961 7688 59391 26368 25347 11022 99602 21473 19001 36057 4691 0 17857 37837 13365
13361 21190 22516 10020 21318 18272 42958 62757 51896 10125 26911 18202 62451 15806 6471 49341 28591 6196 34590 14938 45719 10878 104927 12902 37478 24594 8255 12538 0 26466 10020
38655 52583 41323 32615 51851 10136 61765 96313 70704 21988 35846 8983 96007 44749 19098 82898 14007 28792 21697 28098 74692 33474 123734 35498 56285 17466 34965 37832 27007 0 32615
14797 34303 7513 0 33571 25052 28054 47852 36992 19949 36734 24981 47546 15786 16294 34437 35370 4380 54800 24761 30814 2004 105454 5599 18528 31373 7207 13974 10193 33246 0
