0 1561 638 918 1460 1802 1687 2859 2286 1447 2399 1678 2813 769 1483 1944 2419 708 3013 1876 1868 1034 5083 1242 1434 1882 436 71 1058 2094 918
1564 0 1757 2036 118 2625 2006 3168 3321 1371 1213 2500 3130 1198 1820 2897 3241 1720 2500 1308 3091 2139 4578 2064 2576 2705 1477 1591 1582 2916 2036
641 1807 0 783 1706 2049 1621 2793 2220 1778 2645 1924 2747 1016 1737 1878 2665 1039 3259 2207 1802 963 5329 1252 1323 2128 767 673 1304 2340 783
1012 2008 766 0 1907 1848 1947 3119 2546 1526 2744 1723 3073 1517 1380 2203 2464 439 3058 1955 2128 282 5530 571 1505 1991 760 1040 947 2139 0
1572 158 1765 2044 0 2633 1991 3153 3306 1457 1317 2508 3115 1206 1906 2882 3249 1728 2604 1394 3076 2147 4523 2072 2584 2713 1485 1599 1668 2924 2044
1763 2524 1956 1715 2423 0 3111 4277 3710 1691 2527 248 4231 2390 1372 3362 988 1366 1555 1903 3263 1785 6046 1922 2775 656 1676 1790 1307 636 1715
1677 1983 1612 1956 1883 3115 0 1172 1314 2845 3018 2991 1126 1603 2804 891 3732 2106 4305 3096 1714 2137 3766 2426 1680 3195 1834 1709 2371 3407 1956
2856 3155 2791 3135 3054 4294 1178 0 1195 4021 4190 4110 46 2782 3983 1022 4844 3285 5445 4267 1695 3277 3518 3080 1943 3717 3013 2888 3550 4526 3135
2297 3310 2232 2576 3209 3735 1326 1192 0 3465 4331 3610 1145 2460 3423 509 4351 2726 4945 3894 1078 2716 4112 2601 1464 3238 2453 2328 2990 4026 2576
1369 1402 1617 1451 1375 1686 2772 3945 3371 0 1218 1664 3898 1295 497 3029 2360 1102 1774 428 2953 1521 5511 1658 2436 1887 1251 1396 679 1669 1451
2355 1167 2548 2628 1194 2427 2967 4129 4281 1177 0 2322 4091 1989 1674 3858 2869 2279 1363 855 3884 2699 5606 2835 3368 2644 2268 2383 1856 2172 2628
1655 2416 1848 1607 2315 252 3003 4106 3602 1691 2568 0 4059 2282 1373 3190 1001 1258 1595 1954 3091 1677 5938 1814 2667 484 1568 1682 1199 676 1607
2809 3115 2744 3088 3015 4247 1132 46 1149 3977 4150 4063 0 2735 3936 975 4797 3238 5398 4228 1648 3230 3480 3034 1897 3671 2966 2841 3503 4479 3088
792 1172 1011 1519 1072 2376 1584 2756 2411 1269 2010 2251 2710 0 1563 2069 2992 1310 2992 1636 1993 1700 4781 1815 1722 2456 1037 823 1319 2667 1519
1401 1831 1650 1305 1804 1368 2805 3977 3404 491 1709 1347 3930 1562 0 3061 2135 956 2153 920 2986 1375 5768 1512 2469 1569 1173 1429 533 1458 1305
2032 2862 1967 2311 2762 3470 878 989 504 3200 3897 3285 942 2196 3159 0 4019 2461 4620 3629 870 2452 3639 2255 1118 2892 2189 2064 2726 3701 2311
2366 3127 2559 2319 3026 960 3714 4767 4264 2368 2970 904 4720 2993 2124 3851 0 1969 1998 2460 3752 2389 6649 2526 3378 1206 2279 2393 1910 911 2319
723 1582 971 361 1481 1421 2126 3299 2725 1100 2318 1297 3252 1328 954 2383 2038 0 2632 1528 2307 432 5103 569 1790 1565 355 744 521 1713 361
2938 2501 3131 2891 2528 1551 4287 5389 4885 1779 1355 1446 5343 3022 2149 4473 1993 2542 0 1552 4375 2961 6941 3098 3951 1768 2851 2966 2458 1296 2891
1771 1335 2020 1854 1307 1809 3077 4239 3774 402 892 1708 4201 1646 899 3431 2381 1505 1570 0 3356 1924 5720 2061 2839 2030 1653 1799 1081 1690 1854
1888 3085 1823 2167 2984 3308 1658 1731 1067 3056 3922 3075 1684 2051 3014 815 3809 2317 4410 3485 0 2241 4381 2045 908 2682 2045 1919 2581 3491 2167
1053 2013 937 221 1912 1853 2118 3253 2693 1531 2749 1728 3207 1689 1385 2338 2469 444 3063 1960 2215 0 5535 444 1488 1916 765 1087 952 2144 221
5186 4809 5379 5659 4708 6247 3849 3530 4051 5677 5633 6123 3518 4919 5936 3718 6864 5342 6920 5921 4391 5761 0 5687 4639 6327 5099 5214 5503 6539 5659
1290 2099 1213 497 1999 1952 2362 3040 2537 1654 2872 1827 2993 1896 1508 2124 2568 567 3162 2083 2025 475 5621 0 1629 1668 923 1312 1075 2243 497
1436 2530 1236 1587 2429 2771 1693 1900 1397 2501 3368 2647 1853 1764 2460 984 3388 1762 3982 2930 833 1502 4550 1924 0 2715 1490 1468 2027 3063 1587
1804 2565 1997 1873 2464 723 3152 3658 3155 1979 2797 489 3612 2431 1660 2743 1223 1581 1824 2215 2644 1943 6087 1630 2607 0 1717 1831 1522 905 1873
450 1398 698 684 1298 1640 1853 3026 2452 1242 2236 1515 2979 1056 1173 2110 2256 356 2850 1671 2034 754 4920 925 1518 1720 0 471 802 1931 684
71 1578 656 935 1478 1820 1717 2890 2316 1465 2416 1695 2843 799 1500 1974 2436 726 3030 1894 1898 1062 5100 1259 1464 1900 454 0 1075 2111 935
1052 1608 1257 901 1581 1266 2413 3585 3011 670 1888 1141 3538 1338 524 2669 1882 552 2444 1099 2594 971 5347 1108 2077 1409 824 1079 0 1557 901
2077 2838 2270 2030 2737 690 3425 4528 4024 1618 2132 584 4481 2704 1406 3612 913 1680 1160 1653 3513 2100 6360 2237 3089 906 1990 2104 1621 0 2030
1012 2008 766 0 1907 1848 1947 3119 2546 1526 2744 1723 3073 1517 1380 2203 2464 439 3058 1955 2128 282 5530 571 1505 1991 760 1040 947 2139 0
