0 39993 38651 32292 27858 7133 18671 10498 24858 27112 28812 38866 28048 14461 27732 18442 41851 44607 42629 17976 27180 14127 31209 29332 29191 42699 4561 28495 5504 28654 14127 9179 22999 17062 42042 30457 22245 23136 60205 10335 36725 145061 2562 39112 18486 17970 60208 10813 44374 19794 22286 2562 50386 9692 19519 18684 30545 30259 40774 3456 22270 27182 36871 41763 4783 522 18405 18483 25401 28554 9370 7388 17405 18780 28533 21051 19425 17062 23996 21858 35611 28437 31448 24907 23907 1572
40147 0 96726 60914 62410 36549 59565 48368 25295 59473 43059 69234 43694 28645 59229 30199 58103 100971 1117 30491 30496 46161 17770 45584 43437 65902 37376 11589 46688 13842 46161 30593 57550 57956 670 71351 63428 26605 76222 32644 93089 176039 37917 95476 59380 54709 118284 47172 68470 25784 61481 37917 66525 39704 24679 32094 88620 73177 97088 39974 17812 59542 71828 489 38953 40473 70912 59377 66584 19207 50554 36819 40196 48571 42779 21099 66227 57956 44317 29117 70568 63394 66405 69450 27375 40577
38655 96358 0 28983 26906 44494 27007 30646 68969 28029 52131 23963 51366 53955 28811 57565 35846 11592 96873 57858 71436 32564 70704 41882 52509 35408 43085 67989 34965 82898 32564 46540 21634 28416 96286 10136 19078 72797 21697 49830 11515 125141 39923 11777 30199 53608 21701 33005 31912 59289 35498 39923 44380 41323 59014 56285 9141 16929 13923 40817 61765 28098 17466 96007 42144 37832 22620 27156 16205 76147 29518 44749 55006 53826 51851 60545 18537 28416 47314 69635 20806 27547 28415 17898 73568 37850
31833 60748 29197 0 7050 28758 20093 27508 39668 5464 18504 12259 18290 47429 5732 30974 6862 40976 60449 31267 56232 29426 64177 15295 18691 14503 36559 49789 28078 61622 29426 34348 9286 27493 60885 38136 11581 56105 19246 43304 39514 100079 33101 41161 29955 38292 28504 29866 17071 52762 32360 33101 15397 34797 52488 49759 37141 44928 43307 33995 43565 5534 45465 60704 31737 31010 29008 20147 14738 45539 26380 28316 48480 54503 18638 54019 17439 27493 24796 52932 48805 42598 56415 15110 56875 29042
27398 62289 19706 6264 0 25382 15657 23072 41209 1710 18773 11705 18469 42994 2493 32515 13127 30277 71162 32808 51796 24990 59742 15564 18870 15539 32124 51330 23643 57187 24990 30972 4851 23058 62426 22663 7146 51669 19673 38868 25936 98112 28666 28439 25519 33857 26537 25431 17214 48327 27924 28666 21662 30361 48052 45323 23827 31614 32609 29560 45106 1780 32151 62245 28361 26575 27007 15712 7946 47080 21944 24940 44044 50068 18906 49584 13003 23058 23102 48497 35491 38163 43100 10675 52440 24607
7090 40189 44599 30223 26758 0 17218 16446 22892 25235 16233 37765 15468 15801 24991 12471 29272 50555 39350 12764 28520 15763 32549 16753 16612 37070 7513 28690 11452 29994 15763 7213 21898 23010 39383 36404 24180 24476 45733 11675 42673 151009 5143 45060 24434 20923 52597 16775 39638 21134 28234 5143 37806 8022 20859 21920 36493 36207 46722 4528 22466 25305 42819 39103 2980 7415 24352 17031 27336 26589 15318 1825 20358 21733 15954 22391 22371 23010 7716 24367 41559 34385 37395 27708 25247 7519
13361 60681 26466 20048 15615 15986 0 8050 50161 14868 21185 26622 20881 35148 15488 29840 26911 32423 63317 30133 52656 9968 51896 19878 21282 30455 24278 49182 8255 49341 9968 21246 10755 8036 62730 18272 10001 43824 34590 31023 24540 142408 14629 26927 10497 18835 48024 10409 32130 40482 12902 14629 35445 22516 40207 37478 18360 24057 28590 15523 42958 14938 24594 62451 16850 12538 8822 429 13157 40621 6922 15806 36199 35046 21318 41738 7031 8036 28507 50854 27934 19780 26151 11015 44594 12003
9334 48041 30862 27487 23054 16592 7809 0 48305 22308 31467 34061 30702 22509 22927 36901 34350 36818 50677 37194 27265 2264 39257 31986 31845 37895 11638 36543 5176 36702 2264 20842 18194 5073 50090 22668 17440 31184 52416 18383 28936 137240 12021 31323 3134 11130 52419 2704 39570 27842 5539 12021 42885 9778 27567 20793 22756 28452 32985 12915 30318 22377 28989 49811 14242 10264 10646 7622 20596 40217 1127 17891 15035 15916 31187 29099 14471 5073 26650 23966 27790 20616 23627 18455 31955 9948
24995 25226 69325 39841 41337 20076 49345 48900 0 38400 21986 48161 22621 25090 38156 9821 37030 75281 25389 10114 44818 35393 33542 24512 22365 44829 26608 14730 40860 26987 35393 15682 36478 47736 25364 61131 38759 34494 55149 23977 67399 175735 23048 69786 49160 40564 67176 36405 47397 29055 52960 23048 42287 28936 29998 33299 61219 60933 71448 24318 14175 38469 67545 25182 22753 25321 49078 49157 41915 7835 47773 20346 39999 41373 21707 35420 41932 47736 25909 34385 66285 59111 62121 42287 35265 25424
26376 59345 20112 5780 1586 24361 14636 22051 38265 0 17229 12593 16925 41973 1220 29572 12643 30683 70141 29864 50775 23969 58721 14020 17326 16426 31102 48387 22622 56166 23969 29950 3830 22037 59483 23069 6125 50648 20561 37847 26342 98999 27645 28845 24498 32836 27424 24410 18102 47306 26903 27645 21178 29340 47031 44302 24233 32020 33015 28539 42163 417 32557 59301 27340 25554 23551 14691 9281 44137 20923 23919 43023 49047 17363 48563 11982 22037 22918 47476 35897 37142 40152 9654 51419 23586
