Point de départ, 600 Rue des Madeleines,2.8756142,48.9391591
PHARMACIE DU CŒUR DE LA BRIE,29-31 Rue de Paris,3.3049609,48.7808431
Pharmacie Victor Hugo,54 Bd Victor Hugo,2.7093194,48.7365997
Aprium Pharmacie St Soupplets,35 Rue du Bourget,2.8050053,49.0379755
Pharmacie Saint Georges,1 Rue de la République,2.8314605,49.0097072
Pharmacie du Golf à Bailly-romainvilliers,6 Bd des Sports,2.821795,48.8507358
Pharmacie de la Mairie,60 Rue Charles de Gaulle,2.8934214,48.605223
Pharmacie Vauchier,18 Rue du Général de Gaulle,2.8295067,48.8134306
Pharmacie Centrale de Claye,60 Rue Jean Jaurès,2.685238,48.9450991
Pharmacie du Haudouin,6 Rue de la Croix Verte,2.8011493,49.1361277
Pharmacie de Magny,40 Rue de la Clef des Champs,2.8135257,48.8631156
PHARMACIE DU BEFFROI,9 Rue du Marché,2.9078102,48.8578679
Pharmacie de l'Ourcq,2 Pl. du Marché,3.0755252,49.0909641
Pharmacie du Faubourg,58 Rue Fbg Saint-Nicolas,2.8773541,48.9582708
Pharmacie Darras,26 Rue Couperin,2.8383541,48.6646539
Pharmacie de Beton-Bazoches,1 Pl. de l'Église Saint-Denis,3.2443578,48.701901
Pharmacie des Remparts,6 Rue Charles de Gaulle,2.8872588,49.2344076
Pharmacie principale de Mareuil - Elsie Santé,30 mail Grande Haie,2.8761243,48.9361496
Pharmacie de la Gare,3 Rue du Général Leclerc,2.8119875,48.9008052
PHARMACIE DE JUILLY,6 Rue de la Source,2.7091171,49.0146048
Pharmacie Des Templiers,38 Rue des Caillets,3.0911424,48.8172802
