0 3015 1872 1185 923 838 2746 1012 1184 1944 971 1037 2053 287 2097 3013 2813 71 918 1434 1916
2954 0 2701 3843 3580 2843 2773 2755 3758 4499 3002 2265 3318 3100 2511 901 4732 2982 3037 4009 1447
1797 2694 0 2643 2381 1435 1655 1212 1966 2736 1568 1627 3378 1943 1007 1922 3605 1825 1866 2601 2400
1190 3864 2698 0 476 1664 3572 1838 1374 911 1797 1863 1914 967 2923 3839 1780 1222 1469 704 2827
918 3592 2425 469 0 1391 3300 1565 1127 1228 1524 1591 1940 694 2651 3566 2097 949 1197 865 2555
838 2826 1465 1685 1422 0 2312 474 1523 2394 216 660 2419 984 1663 2579 3263 866 627 1851 1728
2686 2744 1665 3532 3270 2286 0 1947 3448 4221 2465 2238 4267 2832 737 1972 5090 2714 2639 3698 2529
968 2747 1188 1814 1552 470 1950 0 1685 2455 649 667 2549 1114 1301 2217 3324 996 958 1980 1718
1237 3808 1957 1387 1172 1607 3429 1704 0 1407 1633 1807 2694 1013 2780 3695 2276 1268 1290 812 2770
2032 4537 2882 960 1318 2506 4353 2629 1705 0 2639 2705 1816 1808 3705 4620 942 2064 2311 1118 3669
1021 2982 1597 1867 1605 220 2495 657 1372 2514 0 815 2602 1167 1846 2762 3384 1049 477 1927 1883
1023 2248 1565 1899 1637 679 2215 621 1814 2657 838 0 2633 1169 1566 2455 3526 1051 873 2065 1149
2047 3370 3472 1827 1930 2438 4346 2612 2614 1851 2571 2638 0 1849 3697 4018 1801 2079 2586 2436 2779
337 3233 2090 969 707 1056 2964 1230 968 1728 1189 1255 1925 0 2315 3231 2597 369 972 1218 2134
2051 2437 1044 2897 2635 1650 707 1312 2812 3600 1830 1603 3631 2196 0 1665 4469 2078 2003 3063 2100
2938 881 1917 3785 3522 2538 1989 2199 3700 4473 2717 2459 4011 3084 1727 0 5343 2966 2891 3951 1640
2809 4790 3660 1739 2096 3283 5132 3407 2484 975 3416 3482 1824 2586 4483 5398 0 2841 3088 1897 4199
71 3032 1889 1215 953 855 2763 1029 1214 1974 988 1055 2083 317 2115 3030 2843 0 935 1464 1934
1012 3093 1983 1445 1183 723 2791 1037 1174 2203 561 927 2566 918 2143 3058 3073 1040 0 1505 1995
1436 4007 2705 669 873 1807 3715 1981 764 984 1940 2006 2452 1212 3066 3982 1853 1468 1587 0 2970
1814 1444 2261 2716 2454 1703 2459 1740 2631 3474 1863 1125 2760 1960 2026 1652 4174 1842 1897 2882 0
