0 44374 36664 14461 10335 17062 45054 18405 17405 28654 18486 18558 24858 2562 36725 60205 41763 522 14178 18684 27732
44064 0 51872 66822 62696 39724 45110 42646 67872 63871 42186 32379 46917 45332 43202 12181 67954 43241 41708 69151 19159
36281 51706 0 51582 47457 24282 24630 17829 30272 57496 25706 28235 66595 37550 16300 41491 70605 35459 29463 44774 37841
14140 67105 51552 0 4645 31949 59941 33292 20731 15162 33373 33445 25596 11910 51612 75092 28272 14466 20205 8450 42908
10345 63309 47756 5001 0 28154 56146 29497 17471 19194 29578 29650 24021 8115 47817 71297 32303 10671 16410 10735 39113
15766 39436 24243 31067 26942 0 34724 6807 18033 56992 1898 7562 46080 17035 26394 49874 70101 14944 6510 33397 22793
48354 44797 29883 63654 59529 38114 0 32318 64705 92596 39898 36856 78667 49622 9205 34582 105706 47531 42314 65984 33245
20628 42372 17932 35928 31803 6853 28742 0 29397 56620 8637 9438 50941 21896 20413 43893 69729 19805 12601 38258 24145
18777 69911 30159 22258 18889 34756 59956 29450 0 27322 20534 36252 40735 16547 51627 76818 40432 19103 16598 9480 45715
29849 64492 59331 16354 20353 47658 89128 58622 27906 0 49081 49153 27629 27619 80798 105989 13463 30175 35913 19803 58616
17626 42017 25661 32926 28801 1974 36583 8666 16354 51466 0 10144 47939 18894 28254 51733 64575 16803 4830 25861 25374
13097 32202 27388 33115 28990 7773 32945 8897 34166 47308 10234 0 48128 14365 24616 34662 60417 12275 9756 35445 15559
24995 47397 67338 25090 23977 47736 75728 49078 39999 26987 49160 49232 0 23048 67399 55149 25182 25321 35444 33299 38156
2719 45952 38242 12105 7980 18640 46632 19982 15050 26298 20063 20136 23363 0 38303 61782 39408 3045 10507 16329 29309
36462 42620 16418 51762 47637 26222 9092 20426 52813 79131 28006 24964 66775 37730 0 32406 92241 35639 30422 54092 28505
59926 11965 41456 75227 71102 49687 34694 43891 76277 104169 51470 34690 55079 61195 32786 0 117278 59104 53887 77557 21470
38977 68189 71287 28310 32309 56786 101083 70577 39861 13507 58209 58282 25281 36747 92754 117945 0 39303 45041 31759 58948
522 43561 35850 14777 10652 16248 44240 17591 17722 28970 17672 17744 25174 2878 35911 59391 42079 0 13365 19001 26918
14797 41954 30069 20244 16119 7049 39649 13030 16039 34437 6255 10081 34256 10081 31320 54800 47546 13974 0 18528 25311
18628 69762 45496 8462 10770 34607 62599 35950 9026 18961 36031 36103 33355 16398 54270 77750 32071 18954 19064 0 45566
27001 18997 36170 42598 38472 22662 32025 24176 43648 56791 25123 15316 37914 28270 27237 21456 58950 26179 24645 44927 0
