0 1185 2854 971 996 2094 2993 1744 887 287 638
1190 0 1822 1797 1612 2920 3819 2575 1710 967 1125
2851 1780 0 3457 3273 4521 4706 4236 3370 2627 2786
1021 1867 3425 0 509 1842 3215 1517 300 1167 1193
998 1562 3231 511 0 2089 3289 1723 292 1035 882
2077 2923 4523 1856 2062 0 2726 1293 1847 2223 2270
2975 3822 4646 3205 3280 2792 0 2207 3066 3121 3168
1666 2547 4216 1535 1685 1342 2226 0 1470 1812 1893
899 1659 3328 280 296 1879 3078 1513 0 1047 980
337 969 2638 1189 1114 2312 3211 1962 1105 0 429
641 1119 2788 1217 925 2340 3239 1995 1023 417 0
