"CERP","600 Rue des Madeleines","2.8756142","48.9391591"
"Aprium Pharmacie St Soupplets","35 Rue du Bourget","2.8050053","49.0379755"
"Pharmacie Principale","53 Rue nationale","2.887699","49.2368018"
"Pharmacie de Magny","40 Rue de la Clef des Champs","2.8133687","48.8674287"
"Pharmacie Avicenne","33 Rue d'Esbly","2.7956584","48.8953187"
"Pharmacie Lepesme","2-4 Pl. Charles de Gaulle","2.9571437","48.683387"
"PHARMACIE LEFEBVRE TOULET KAREN","5 Rue de la Couture","3.3413673","48.8619243"
"Pharmacie des Ormes","8 Rue Georges Faroy","2.9860057","48.8004612"
"Pharmacie de l'Olivier","35 Rue du Docteur Roux","2.8282263","48.8875007"
"Pharmacie du Faubourg","58 Rue Fbg Saint-Nicolas","2.8773541","48.9582708"
"PHARMACIE DU PARC","4 Avenue du Parc","2.8642629","48.9440565"
