0 14461 42042 18486 11132 38651 50386 24907 10498 2562 9692
14140 0 28551 33373 21485 53538 65273 43443 22361 11910 13697
39256 28590 0 58489 48539 96671 66691 68559 47477 37026 38813
17626 32926 64855 0 5539 30180 52675 20188 3871 18894 12293
11146 21705 49287 6542 0 33533 45556 21126 3017 11542 8974
38655 53955 96286 30199 33324 0 44380 17898 30646 39923 41323
49980 65281 66515 54591 45534 44545 0 30458 42855 51248 52648
24505 43635 71217 20242 23004 18025 30551 0 20326 25774 31003
9334 22509 50090 3134 3024 30862 42885 18455 0 12021 9778
2719 12105 39687 20063 11787 40229 51963 26485 12076 0 2725
4910 13706 41288 21573 8976 41738 53473 31643 9852 2680 0
