0 23800 5500 17980 19790 18070 36660 36870 18680 31210 27730 22250 18440 24860 11230 21050 18660 18360 38720 27110 14180 42740 29190 27180 17060 11280 27180 60210 28500 18560 30260 9180 520 28810 38650 45050 28560 4560 28530 29330 42590 40780 22270 1570 42070 25030 8550 36730 27980 28440 7390 14180 32290 17780 21860 14460 41760 3460 50390 28650 17410 40730 44370 18670 30460 36440 60210 19530 24910 7130
22360 0 18670 15230 27170 39370 45150 45360 39990 38590 23030 19400 14930 26870 18610 28430 27150 26850 33660 23270 29510 30370 9880 34560 25550 29540 23340 68690 30580 27040 38740 11630 21540 9500 47140 53540 29500 26790 9220 10020 41270 49260 24350 21550 41290 32410 24830 45210 22100 36920 5600 29510 25350 39080 30410 21840 40990 10570 31070 36030 38710 40750 32900 27160 38940 44920 40660 26910 22930 6040
5740 19810 0 30540 26670 23050 32670 32880 23670 38080 23550 18060 30250 41660 18100 27930 7380 14370 34540 22930 6620 38560 25200 30140 13070 7480 23000 56210 35370 7910 26260 13630 5250 24820 34660 41060 33000 10470 24540 25340 49470 36780 29150 4930 48940 31910 3240 32730 23800 24440 12880 6620 28110 22760 26840 21340 48640 7900 46390 35530 22390 47610 40190 8030 26460 32440 56210 26400 20730 11580
17950 15160 22310 0 20850 33620 57610 57820 26260 32790 30260 30870 1230 10690 17820 25370 39610 39310 40260 30510 28400 36970 14470 31490 38010 29830 30580 59280 19530 30850 51210 8640 18280 14090 59600 66000 16490 19560 13810 16620 30230 61730 13310 18380 30250 29350 37300 57680 33570 49390 13520 28400 31950 33330 27340 18050 29940 17270 37560 26360 32960 29700 39500 30790 51410 57390 47260 21800 34390 13250
19810 27390 26350 21080 0 26740 57220 57430 13800 14800 48580 43090 21540 29030 10070 4640 39220 38920 59570 47960 25870 63580 34780 16260 37620 26180 48030 80760 17560 39110 50820 15210 20140 34400 59210 65610 27910 17040 34130 49890 26180 61330 15100 20240 25660 13090 29400 57280 48830 48990 21690 25870 53140 22130 12100 6320 25350 19640 70940 12240 26080 24320 72770 39230 51010 53180 80760 1210 49110 21440
19100 41820 23810 34170 26170 0 29500 29710 9690 33030 46040 40550 34640 41060 18770 21900 20480 28750 57030 45420 16920 61040 47210 16600 35080 15330 45490 76160 40690 36570 31050 25380 19420 46830 54600 59300 51040 16170 46550 47350 42000 54970 34850 19530 41480 19850 20050 50970 46290 21270 22570 16920 50600 7690 11970 22580 41170 18920 68400 28060 1220 40140 70230 36690 48060 25290 76160 25080 46570 22320
36280 44750 32590 55480 55610 29050 0 2130 44780 62460 37840 28350 55190 66600 48350 51340 25880 17790 43680 37060 29460 55240 50140 46030 24280 30320 37130 41500 70130 28240 3480 44170 35460 49760 19940 24630 73780 40710 49480 50280 71440 20300 59390 35480 70910 49290 28950 16300 35970 9350 42380 29460 48780 28010 44230 51580 70610 38440 64180 57500 30270 69570 51710 28080 13400 13790 41490 54510 25140 42120
36450 44910 32760 55650 55780 29220 2160 0 44940 62630 35360 25870 55360 66760 48520 51500 26050 15750 41190 34580 29630 52760 50300 46200 24450 30490 34650 39010 70290 25750 1350 44330 35630 49930 17460 22150 73950 40880 49650 50450 71600 17820 59560 35640 71080 49460 27360 13820 33490 9520 42540 29630 46300 28180 44400 51750 70770 38610 61690 57660 30440 69740 49220 25600 10920 16310 39010 54680 22650 42290
18630 41350 23340 26470 13800 9690 45500 45700 0 23930 45570 40080 26940 33360 10330 12800 36210 35910 56560 44950 19060 60570 46740 6550 34610 20520 45020 77750 31590 36100 47800 18650 18950 46360 56200 62600 41940 15700 46080 46880 32900 58320 22760 19060 32380 9080 26390 54270 45810 37270 22510 19060 50130 14140 3250 8460 32070 18450 67930 18960 9030 31040 69760 36220 48000 41290 77750 13530 46100 22250
31280 38860 37820 32340 14930 34220 63430 63630 23900 0 60050 54560 32810 32680 21540 10240 50690 50390 71040 59430 37350 75060 46050 22300 49090 37650 59500 92240 18030 50590 64980 29930 31610 45670 70680 77080 28380 28510 45390 61360 16600 72800 19530 31710 17730 15370 40870 68750 60300 55200 33170 37350 64610 46320 20920 17790 17420 31110 69130 6850 32000 16420 84250 50700 62490 59220 92230 13830 60580 32910
27000 22370 23250 29510 47930 44310 36170 33450 44930 59350 0 6750 29220 37910 39360 49190 24870 24140 13340 890 24650 17360 16980 51400 22660 25500 960 28320 48040 15320 32920 29210 26180 16880 21010 32030 43790 31730 17010 13670 58730 33990 41810 24210 59160 53170 20800 27240 2600 37770 23180 24650 5810 33270 48100 42600 58950 29160 21200 56790 43650 58210 19000 15260 23960 45770 21460 47660 10280 23620
21840 20340 18090 30240 42770 39150 28080 25360 39770 54190 7030 0 29950 38640 34200 44030 19720 18160 18020 6410 19490 22030 21390 46240 17500 20350 6480 29980 51470 10160 24820 28400 21020 21290 19230 30250 44510 26570 21420 19350 65570 32220 45250 19050 65050 48010 15640 25460 7280 32610 22370 19490 11590 28110 42940 37440 64740 24010 26990 51630 38490 63710 23670 10100 19830 40610 24730 42510 3530 22810
18240 14680 30660 290 21140 33910 57140 57350 26550 33080 29790 30390 0 10300 18120 25660 39140 38840 39780 30030 28690 36500 14000 31790 37540 30120 30100 58810 19820 30370 50740 8930 18570 13620 59130 65530 16790 19860 13340 16140 30520 61250 13600 18670 30540 29640 36820 57200 33090 48910 11980 28690 31470 33620 27630 18340 30240 17570 37080 26660 33250 30000 39030 30320 50930 56920 46780 22090 33920 11710
25000 25720 40860 10110 29060 40660 67340 67550 33300 33540 38160 38760 9820 0 24870 35420 49340 49040 48150 38400 35440 44870 22370 44820 47740 36870 38470 67180 14730 49230 60930 15680 25320 21990 69330 75730 7840 26610 21710 24510 25430 71450 14180 25420 25390 36390 47020 67400 41460 59110 20350 35440 39840 40370 34390 25090 25180 24320 42290 26990 40000 24900 47400 49340 61130 67110 55150 30010 42290 20080
11260 18840 17800 18050 10080 17720 48670 48880 10320 21490 40030 34540 18520 24940 0 11340 30670 30370 51020 39410 17330 55030 41200 17470 29070 17160 39480 72220 21740 30570 42270 9280 11590 40820 50660 57060 31100 8490 40540 41340 32880 52780 17260 11690 32350 15320 20850 48730 40280 40440 13150 17330 44590 17430 13310 4750 32050 11090 62390 18940 17060 31020 64220 30680 42460 48450 72210 9810 40560 12890
