0 19794 23136 60208 9179 9692 42593 10498 17976 28437 2562 522 7133 27732 29191 18405 50386 27980 41763 23802 28533 28495 25401 21858 18864 30386 24858 19527 3456 145061 27180 31209 32292 30259 14461 8501 7388 30457 39112 27112 4783 17405 36725 17777 45054 17062 14178 22369 31448 36871 22270
19809 0 12213 80764 15210 19366 26183 28029 21078 48993 17579 20135 21438 48577 34783 38960 70941 48825 25353 27391 34125 17561 46246 12103 45327 50942 29034 1208 19635 161799 16256 14798 53137 50815 6315 29347 21694 51012 59668 47957 19803 26076 57281 22131 65610 37618 25873 43214 52003 57427 15101
23031 11563 0 94559 21745 22588 27389 31251 27613 39669 20801 23357 24661 51799 52969 47187 74164 52048 26559 30613 52311 26079 49468 2489 48549 64737 40724 10465 22858 152314 2359 18415 56359 49452 9602 32569 24916 66460 71751 51180 23026 13568 69364 18680 77693 40840 29096 46437 42680 48103 26216
61495 82129 95638 0 69380 64164 119678 53487 58571 50388 62764 60673 51145 28256 44633 45460 34159 26388 118847 48672 44670 90830 26717 92475 35062 31823 66972 81862 63657 95276 94277 93544 28428 39769 76796 51633 50704 32977 36002 27474 64985 77847 34355 76255 28867 51256 55456 31244 51256 40306 84606
9312 15200 21801 68379 0 13254 29701 18669 8797 36608 7365 9638 5955 29392 22502 26575 45589 31280 29418 11922 21844 19005 31736 21691 26210 38557 15679 16150 8635 153231 25844 29873 34623 38430 12396 16672 6225 38627 47282 29636 7071 24316 44895 24687 53225 25233 19762 26300 39618 45041 12781
4910 19039 22382 63295 12039 0 41838 9852 20836 31524 2680 5236 8130 31108 32278 21492 53473 31357 41008 26889 31620 27740 28777 20410 27858 33474 27718 18772 4736 148148 26425 30454 35668 33347 13706 11878 8385 33544 42199 30489 5787 15957 39812 16329 48141 20149 7696 25746 34535 39958 21516
42589 26234 27054 118733 29706 42145 0 50809 29730 63844 40359 42915 35661 59231 43440 71362 66527 71605 819 41628 42782 10701 69026 29566 68107 88911 25432 25136 42415 176488 30946 16616 60917 73627 29094 52126 35931 73792 95925 59475 38065 40646 93538 54965 101868 60398 48653 65994 66854 72278 16924
9334 27842 31184 52419 20842 9778 50641 0 37194 20616 12021 10264 16592 22927 31845 10646 42885 23176 49811 26456 31187 36543 20596 23966 13910 22597 48305 27575 12915 137240 27265 39257 27487 28452 22509 1996 17891 22668 31323 22308 14242 15035 28936 10937 37265 5073 2315 17565 23627 28989 30318
17951 20849 27450 59282 8638 21892 30227 39177 0 49387 16004 18277 13246 30262 14471 39355 37558 33565 29944 15156 13813 19532 34021 27341 33477 51336 10685 21799 17274 166011 31494 32792 31947 51209 18046 37323 13516 51407 60062 30506 15709 32955 57675 33326 66004 38012 28400 28585 52398 57821 13307
28112 47439 39226 48838 35997 30780 63265 22721 47315 0 29380 27289 33951 37455 41966 10479 63161 37704 62435 36577 41308 61956 35125 36063 28438 19016 58426 46342 30274 134985 37865 54292 42016 10819 43413 20724 34207 20739 26030 36836 31601 22103 23643 19843 31972 16113 21294 32093 4510 9470 51222
